Subject,Start date,Start time,End date,End time,Description,Location
Технологии программирования,23/03/2021,15:35:00,23/03/2021,17:10:00,"Практика, Соколов Алексей Олегович","12 корпус ауд.415"
Технологии командной разработки ПО,24/03/2021,12:05:00,24/03/2021,13:40:00,"Лекция, Соломина Юлия Юрьевна","12 корпус ауд. 304"
Технологии программирования,25/03/2021,13:50:00,25/03/2021,15:25:00,"Лекция, Соколов Алексей Олегович","12 корпус ауд.415"
Моделирование,26/03/2021,15:35:00,26/03/2021,17:10:00,"Практика, Люкшин Илья Андреевич","12 корпус ауд.416а"
Технологии командной разработки ПО,27/03/2021,10:00:00,27/03/2021,11:35:00,"Практика, Соломина Юлия Юрьевна","12 корпус ауд.416а"
Системы искусственного интеллекта,28/03/2021,12:05:00,28/03/2021,13:40:00,"Лекция, Иванов Александр Сергеевич","12 корпус ауд. 304"
Системы искусственного интеллекта,29/03/2021,13:50:00,29/03/2021,15:25:00,"Практика, Иванов Александр Сергеевич","12 корпус ауд. 415"
Педагогика и психология,30/03/2021,13:50:00,30/03/2021,15:25:00,"Практика, Мажара Мария Владимировна","12 корпус ауд.302"
Педагогика и психология,31/03/2021,15:35:00,31/03/2021,17:10:00,"Лекция, Мажара Мария Владимировна","12 корпус ауд.424"
Английский язык (перевод.),01/04/2021,12:05:00,01/04/2021,13:40:00,"Практика, Шилова Светлана Алексеевна, анг.ст.1","12 корпус ауд.125"
Английский язык (перевод.),02/04/2021,12:05:00,02/04/2021,13:40:00,"Практика, Косарева  Светлана  Александровна, анг.ст.5","12 корпус ауд.225В"
Английский язык (перевод.),03/04/2021,12:05:00,03/04/2021,13:40:00,"Практика, Павлова Ольга Вячеславовна, анг.ст.4","12 корпус ауд.229"
Программные средства решения математических задач,04/04/2021,10:00:00,04/04/2021,11:35:00,"Лекция, Филиппов Борис Александрович","12 корпус ауд. 304"
Моделирование,05/04/2021,12:05:00,05/04/2021,13:40:00,"Лекция, Тананко Игорь Евстафьевич","12 корпус ауд.420"
Английский язык (перевод.),06/04/2021,12:05:00,06/04/2021,13:40:00,"Практика, Алмаева Надежда Юрьевна, анг.ст.3","12 корпус ауд.426в"
Английский язык (перевод.),07/04/2021,12:05:00,07/04/2021,13:40:00,"Практика, Алексеева Дина Алексеевна, анг.ст.2","ауд. 402"
Программные средства решения математических задач,08/04/2021,08:20:00,08/04/2021,09:50:00,"Практика, Филиппов Борис Александрович","12 корпус ауд.416а"
Английский язык (перевод.),09/04/2021,15:35:00,09/04/2021,17:10:00,"Практика, Шилова Светлана Алексеевна, анг.ст.1","12 корпус ауд.125"
Английский язык (перевод.),10/04/2021,15:35:00,10/04/2021,17:10:00,"Практика, Косарева  Светлана  Александровна, анг.ст.5","12 корпус ауд.415"
Английский язык (перевод.),11/04/2021,15:35:00,11/04/2021,17:10:00,"Практика, Алексеева Дина Алексеевна, анг.ст.2","12 корпус ауд.215"
Английский язык (перевод.),12/04/2021,15:35:00,12/04/2021,17:10:00,"Практика, Павлова Ольга Вячеславовна, анг.ст.4","ауд. 402"
Английский язык (перевод.),13/04/2021,15:35:00,13/04/2021,17:10:00,"Практика, Алмаева Надежда Юрьевна, анг.ст.3","12 корпус ауд.300"
