id,full_name,short_name,url,week_shift
1,Биологический факультет,БИОЛОГ Ф-Т,bf,false
2,Географический факультет,ГЕОГРАФ Ф-Т,gf,false
3,Геологический факультет,ГЕОЛОГ Ф-Т,gl,false
4,Институт дополнительного профессионального образования,ИДПО,idpo,false
5,Институт искусств,И-Т ИСКУССТВ,ii,false
6,Институт истории и международных отношений,ИИИМО,imo,false
7,Институт физики,И-Т ФИЗИКИ,ff,false
8,Институт физической культуры и спорта,И-Т ФИЗ КУЛ,ifk,false
9,Институт филологии и журналистики,ИФИЖ,ifg,false
10,Институт химии,И-Т ХИМИИ,ih,false
11,Механико-математический факультет,МЕХМАТ,mm,false
12,Социологический факультет,СОЦ Ф-Т,sf,false
13,Факультет иностранных языков и лингводидактики,ФИЯиЛ,fi,false
14,Факультет компьютерных наук и информационных технологий,КНИИТ,knt,false
15,Факультет фундаментальной медицины и медицинских технологий,ФФМиМТ,fmimt,false
16,Факультет психологии,ПСИХОЛОГ Ф-Т,fps,false
17,Факультет психолого-педагогического и специального образования,ППИСО,fppso,false
18,Философский факультет,ФИЛОСОФ Ф-Т,fp,false
19,Экономический факультет,ЭКОНОМ Ф-Т,ef,false
20,Юридический факультет,ЮРФАК,uf,false
21,Геологический колледж,ГЕОЛОГ К-Ж,kgl,false
22,Колледж радиоэлектроники им. П.Н. Яблочкова,К-Ж ЯБЛОЧКОВА,cre,false
